FileName	GenomeSize	GeneSize	Coding	ASR
GCF_000001635.27_GRCm39_genomic.gff	2728222451	1320613304	37246699	5.327876867692356
GCF_000003025.6_Sscrofa11.1_genomic.gff	2501912388	1389570318	35553489	3.7031441836833512
GCF_000165445.2_Mmur_3.0_genomic.gff	2487409138	1250699459	35131539	3.5400791294682534
GCF_000247795.1_Bos_indicus_1.0_genomic.gff	2673965444	987855691	32410319	2.0088550810005912
GCF_000317375.1_MicOch1.0_genomic.gff	2287340943	943175664	33754777	2.2294724684449849
GCF_001704415.2_ARS1.2_genomic.gff	2922617086	1091669665	34960833	2.4407724209546151
GCF_002007445.2_ASM200744v3_genomic.gff	2440277323	1139211138	34527780	3.0661491413580602
GCF_002201575.2_ASM220157v2_genomic.gff	2419443398	929442675	32966902	1.8052603790310657
GCF_002263795.3_ARS-UCD2.0_genomic.gff	2770686120	1295081857	36598587	3.6205777561849586
GCF_002776525.5_ASM277652v5_genomic.gff	2993041957	1248336551	35042433	2.6800842567067189
GCF_002837175.3_ASM283717v5_genomic.gff	2496225537	1128102550	33823680	2.9063350587517385
GCF_002863925.1_EquCab3.0_genomic.gff	2506966135	1190788025	36221238	3.7162727844917947
GCF_003254725.2_ASM325472v2_genomic.gff	2349862946	1395147252	35822391	4.2178872147311441
GCF_003255815.1_Tgel_1.0_genomic.gff	2889630685	1236277189	34751377	2.454285480543692
GCF_003339765.1_Mmul_10_genomic.gff	2971331530	1397257445	36176778	3.9096893040060117
GCF_003369695.1_UOA_Brahman_1_genomic.gff	2680953056	1214764829	35666035	3.2449651047558272
GCF_003668045.3_CriGri-PICRH-1.0_genomic.gff	2366634374	925869602	36279403	2.5222020604914586
GCF_003704035.1_HU_Pman_2.1.3_genomic.gff	2512439762	1153416665	36224490	2.9834664891072311
GCF_004115215.2_mOrnAna1.pri.v4_genomic.gff	1859281927	950696141	32172991	2.4965818689347223
GCF_004115265.2_mRhiFer1_v1.p_genomic.gff	2075768562	984760880	33885968	2.9526846628669423
GCF_004126475.2_mPhyDis1.pri.v3_genomic.gff	2108832841	990991035	33945476	2.8199291122033463
GCF_004664715.2_UCI_PerLeu_2.1_genomic.gff	2475180836	1033479850	36639424	2.6362085550253194
GCF_006229205.1_meerkat_22Aug2017_6uvM2_HiC_genomic.gff	2353578744	1086310463	33155871	2.4176518541768965
GCF_006542625.1_Asia_NLE_v1_genomic.gff	2843982884	1269103513	35191847	2.8480701226053866
GCF_007474595.2_mLynCan4.pri.v2_genomic.gff	2407810255	1035683201	33894785	2.4387222400142088
GCF_007565055.1_ASM756505v1_genomic.gff	3038477066	1262501252	35514818	2.8596122046859427
GCF_008632895.1_UCSF_Mcou_1_genomic.gff	2507184835	1114443055	34363302	3.4406017500879282
GCF_008692025.1_mPhoSin1.pri_genomic.gff	2371524154	1089105969	33437755	3.0635845020097792
GCF_008728515.1_Panubis1.0_genomic.gff	2869821163	1427108418	35850088	4.3308721585285923
GCF_009762305.2_mZalCal1.pri.v2_genomic.gff	2409685272	1171373339	35531271	3.4394011404770746
GCF_009806435.1_UM_NZW_1.0_genomic.gff	2841507030	1420086425	37320991	3.7707346249192577
GCF_009829155.1_mMusErm1.Pri_genomic.gff	2445217270	1244808480	36067952	3.5828841903748789
