	FileName	Name	Accession	ScientificName	Genes_total	Genes_protein_coding	mRNAs	CDSs	CDSs_model_refseq	CDSs_known_refseq	CDSs_fully_supported	CDSs_ab_initio	Length_count_genes	Length_mean_genes	Length_count_transcripts	Length_mean_transcripts	Length_count_cds	Length_mean_cds	Length_count_exons	Length_mean_exons	Length_count_introns	Length_mean_introns	Num_proteins	Num_transcripts	Num_proteins_hsapiens	Num_transcripts_hsapiens	Num_rnaseq_reads	Num_tissues	Num_runs
0	Acanthopagrus_latus_AR100_annotation_report.xml	fAcaLat1.1	GCF_904848185.1	Acanthopagrus latus	30246	23786	54545	54718	54558	0	53670	314	29897	16985.9	64897	3594.59	54558	2269.55	319351	321.241	284477	1999.89	236089	15244807	60894	0	2107566694	14	30
1	Aedes_aegypti_AR101_annotation_report.xml	AaegL5.0	GCF_002204515.2	Aedes aegypti	19585	14613	28304	28304	28304	0	27463	575	19203	36582.8	33893	2946.55	28304	2143.99	94104	480.729	73313	12329.4	122104	376546	0	0	9274192723	31	126
2	Aegilops_tauschii_AR102_annotation_report.xml	Aet v5.0	GCF_002575655.2	Aegilops tauschii	62260	45657	58575	58655	58650	5	45112	12456	57065	3739.69	85418	1903.89	58655	1262.42	262059	404.366	194821	743.889	246170	558080	0	0	8182868509	25	103
3	Aethina_tumida_AR101_annotation_report.xml	icAetTumi1.1	GCF_024364675.1	Aethina tumida	15157	13131	21388	21401	21396	5	20280	677	15090	10574.8	24119	2350.49	21401	1876.31	93945	339.835	78198	2238.02	90153	42777	0	0	1141058188	4	22
4	Alosa_alosa_AR100_annotation_report.xml	AALO_Geno_1.1	GCF_017589495.1	Alosa alosa	28608	23478	43701	43775	43714	0	41020	1237	27778	18567.5	49582	2998.85	43714	2019.54	283616	272.385	255369	2029.75	242525	53344	64181	0	872776492	12	12
5	Alosa_sapidissima_AR100_annotation_report.xml	fAloSap1.pri	GCF_018492685.1	Alosa sapidissima	47628	25730	55994	56159	56007	0	54224	838	46774	12963.2	80113	2595.1	56007	2187.93	330982	284.197	294407	2178.82	239071	4	62394	0	1605754454	12	33
6	Anabas_testudineus_AR101_annotation_report.xml	fAnaTes1.2	GCF_900324465.2	Anabas testudineus	26944	23846	40347	40551	40360	0	38502	807	26342	13777.4	43730	3293.67	40360	2128.32	282264	283.869	254836	1318.2	254492	6278247	56891	0	1144370544	8	23
7	Ananas_comosus_AR100_annotation_report.xml	ASM154086v1	GCF_001540865.1	Ananas comosus	25626	22166	35689	35689	35689	0	32395	2472	25050	5158.66	43350	1897.72	35689	1411.97	165173	308.164	133837	806.312	243590	18879	0	0	3634560202	17	105
8	Anas_platyrhynchos_AR104_annotation_report.xml	ZJU1.0	GCF_015476345.1	Anas platyrhynchos	25093	16836	45212	45273	45081	144	44103	535	24802	29553.7	60242	4138.52	45225	2217.5	249884	401.775	221456	4272.69	93407	1347234	60887	0	9472138472	18	161
9	Anguilla_anguilla_AR100_annotation_report.xml	fAngAng1.pri	GCF_013347855.1	Anguilla anguilla	31451	25903	58078	58286	58091	0	56637	613	30879	21053.8	65291	3552.35	58091	2234.58	328544	315.968	294483	2428.88	249095	6278427	58137	0	3378646562	17	83
